"cve_id","product","id","flag"
"CVE-2012-0853","ffmpeg/ffmpeg","c509f4f74713b035a06f79cb4d00e708f5226bc5","(defined(CONFIG_AVCODEC)) & (defined(CONFIG_ATRAC3_DECODER))"
"CVE-2012-0853","ffmpeg/ffmpeg","9af6abdc17deb95c9b1f1d9242ba49b8b5e0b016","(defined(CONFIG_AVCODEC)) & (defined(CONFIG_ATRAC3_DECODER))"
"CVE-2012-0854","ffmpeg/ffmpeg","6d8e6fe9dbc365f50521cf0c4a5ffee97c970cb5","(defined(CONFIG_AVCODEC)) & ((defined(CONFIG_INTERPLAY_DPCM_DECODER)) | (defined(CONFIG_ROQ_DPCM_DECODER)) | (defined(CONFIG_SOL_DPCM_DECODER)) | (defined(CONFIG_XAN_DPCM_DECODER)))"
"CVE-2012-0855","ffmpeg/ffmpeg","3eedf9f716733b3b4c5205726d2c1ca52b3d3d78","(defined(CONFIG_AVCODEC)) & (defined(CONFIG_JPEG2000_DECODER))"
"CVE-2012-0856","ffmpeg/ffmpeg","21270cffaeab2f67a613907516b2b0cd6c9eacf4","(defined(CONFIG_AVCODEC)) & ((defined(CONFIG_H261_ENCODER)) | (defined(CONFIG_LJPEG_ENCODER)) | (defined(CONFIG_H263_ENCODER)) | (defined(CONFIG_H261_DECODER)) | (defined(CONFIG_EATQI_DECODER)) | (defined(CONFIG_EAMAD_DECODER)) | (defined(CONFIG_RV40_DECODER)) | (defined(CONFIG_MDEC_DECODER)) | (defined(CONFIG_RV30_DECODER)) | (defined(CONFIG_SVQ1_DECODER)) | (defined(CONFIG_RTP_MUXER)) | (defined(CONFIG_MPEG1VIDEO_DECODER)) | (defined(CONFIG_SVQ3_DECODER)) | (defined(CONFIG_H264_PARSER)) | (defined(CONFIG_MPEG2VIDEO_ENCODER)) | (defined(CONFIG_MJPEG_ENCODER)) | (defined(CONFIG_MPEG1VIDEO_ENCODER)) | (defined(CONFIG_MPEGVIDEO_DECODER)) | (defined(CONFIG_VC1_PARSER)) | (defined(CONFIG_H263_DECODER)) | (defined(CONFIG_MPEG4VIDEO_PARSER)) | (defined(CONFIG_CAVS_DECODER)) | (defined(CONFIG_DNXHD_ENCODER)) | (defined(CONFIG_MPEG2VIDEO_DECODER)) | (defined(CONFIG_SNOW_ENCODER)) | (defined(CONFIG_MPEGTS_MUXER)) | (defined(CONFIG_MPEGVIDEO_PARSER)) | (defined(CONFIG_SVQ1_ENCODER)))"
"CVE-2012-0858","ffmpeg/ffmpeg","204cb29b3c84a74cbcd059d353c70c8bdc567d98","(defined(CONFIG_AVCODEC)) & (defined(CONFIG_SHORTEN_DECODER))"
"CVE-2012-0859","ffmpeg/ffmpeg","6fcf2bb8af0e7d6bb179e71e67e5fab8ef0d2ec2","(defined(CONFIG_AVCODEC)) & ((defined(CONFIG_VORBIS_DECODER)) | (defined(CONFIG_VORBIS_ENCODER)))"
"CVE-2012-2782","ffmpeg/ffmpeg","9a57a37b7041581c10629c8241260a5d7bfbc1e7","(defined(CONFIG_AVCODEC)) & ((defined(CONFIG_H264_PARSER)) | (defined(CONFIG_SVQ3_DECODER)) | (defined(CONFIG_H264_DECODER)))"
"CVE-2012-2783","ffmpeg/ffmpeg","d85b3c4fff4c4b255232fcc01edbd57f19d60998","(defined(CONFIG_AVCODEC)) & ((defined(CONFIG_VP5_DECODER)) | (defined(CONFIG_VP6_DECODER)))"
"CVE-2012-2785","ffmpeg/ffmpeg","d462949974668ffb013467d12dc4934b9106fe19","(defined(CONFIG_AVCODEC)) & (defined(CONFIG_WMALOSSLESS_DECODER))"
"CVE-2012-2785","ffmpeg/ffmpeg","326f7a68bbd429c63fd2f19f4050658982b5b081","(defined(CONFIG_AVCODEC)) & (defined(CONFIG_WMALOSSLESS_DECODER))"
"CVE-2012-2792","ffmpeg/ffmpeg","d442c4462a2692e27a24e1a9d0eb6f18725c7bd8","(defined(CONFIG_AVCODEC)) & (defined(CONFIG_WMALOSSLESS_DECODER))"
"CVE-2012-2795","ffmpeg/ffmpeg","2a7063de547b1d8fb1cef523469390fb59fb2c50","(defined(CONFIG_AVCODEC)) & (defined(CONFIG_WMALOSSLESS_DECODER))"
"CVE-2012-2795","ffmpeg/ffmpeg","b3a43515827f3d22a881c33b87384f01c86786fd","(defined(CONFIG_AVCODEC)) & (defined(CONFIG_WMALOSSLESS_DECODER))"
"CVE-2012-2795","ffmpeg/ffmpeg","a0abefb0af64a311b15141062c77dd577ba590a3","(defined(CONFIG_AVCODEC)) & (defined(CONFIG_WMALOSSLESS_DECODER))"
"CVE-2012-2796","ffmpeg/ffmpeg","5e59a77cec804a9b44c60ea22c17beba6453ef23","(defined(CONFIG_AVCODEC)) & (defined(CONFIG_VC1_DECODER))"
"CVE-2012-2797","ffmpeg/ffmpeg","cca9528524c7a4b91451f4322bd50849af5d057e","((defined(CONFIG_MP3ON4FLOAT_DECODER)) | (defined(CONFIG_MP3ON4_DECODER))) & (defined(CONFIG_AVCODEC)) & ((defined(CONFIG_MP1_DECODER)) | (defined(CONFIG_MP2_DECODER)) | (defined(CONFIG_MP3ADU_DECODER)) | (defined(CONFIG_MP3ON4_DECODER)) | (defined(CONFIG_MP3_DECODER)) | (defined(CONFIG_MPC7_DECODER)) | (defined(CONFIG_MPC8_DECODER)) | (defined(CONFIG_QDM2_DECODER)))"
"CVE-2012-2799","ffmpeg/ffmpeg","64bd7f8e4db1742e86c5ed02bd530688b74063e3","(defined(CONFIG_AVCODEC)) & (defined(CONFIG_WMALOSSLESS_DECODER))"
"CVE-2012-6615","ffmpeg/ffmpeg","20c121c00747d6c3b0b0f98deeff021171b2ed74","(defined(CONFIG_AVCODEC)) & ((defined(CONFIG_ASS_DECODER)) | (defined(CONFIG_MOVTEXT_ENCODER)) | (defined(CONFIG_SRT_ENCODER)) | (defined(CONFIG_SUBRIP_ENCODER)))"
"CVE-2012-6616","ffmpeg/ffmpeg","68e48ed72e0597ae61bc3e9e6e6d9edcb1a00073","(defined(CONFIG_AVCODEC)) & (defined(CONFIG_MOVTEXT_DECODER))"
"CVE-2012-6618","ffmpeg/ffmpeg","e74cd2f4706f71da5e9205003c1d8263b54ed3fb","defined(CONFIG_AVFORMAT)"
