feature,weight
CONFIG_USB_SERIAL_CONSOLE,2
CONFIG_OF,23
CONFIG_UWB,1
CONFIG_SND_SEQ_DEVICE,1
CONFIG_USB_TEST,1
CONFIG_USB_HID,2
CONFIG_USB_MOUSE,1
CONFIG_USB_KBD,1
CONFIG_TABLET_USB_GTCO,1
CONFIG_INPUT_IMS_PCU,1
CONFIG_USBIP_HOST,4
CONFIG_USBIP_CORE,4
CONFIG_USB_SUPPORT,16
CONFIG_CRYPTO_SALSA20,1
CONFIG_CRYPTO_SALSA20_586,1
CONFIG_NETFILTER_XT_TARGET_TCPMSS,1
CONFIG_CRYPTO_PCRYPT,1
CONFIG_PINCTRL_AMD,2
CONFIG_PINCTRL,2
CONFIG_BLK_DEV_DM,2
CONFIG_HNS_DSAF,1
CONFIG_HNS,1
CONFIG_NET_VENDOR_HISILICON,1
CONFIG_NVME_TARGET_FC,1
CONFIG_IPV6_MROUTE,1
CONFIG_SECURITY_SELINUX,1
CONFIG_SLAB_FREELIST_RANDOM,1
CONFIG_SLAB,1
CONFIG_HID_CORSAIR,1
CONFIG_IEEE802154_ATUSB,1
CONFIG_IEEE802154,2
CONFIG_USB_SERIAL_KLSI,1
CONFIG_FS_POSIX_ACL,1
CONFIG_DRM_VC4,2
CONFIG_IPV6_GRE,1
CONFIG_HID_CYPRESS,1
CONFIG_MACSEC,2
CONFIG_AF_RXRPC,1
CONFIG_IPX,1
CONFIG_NFSD_V3,1
CONFIG_DVB_USB,1
CONFIG_DVB_USB_DW2102,1
CONFIG_DVB_USB_CXUSB,1
CONFIG_DVB_USB_V2,1
CONFIG_CRYPTO_CCM,1
CONFIG_CAN_GS_USB,2
CONFIG_VIRTIO_CONSOLE,2
CONFIG_USB_PEGASUS,1
CONFIG_USB_NET_DRIVERS,4
CONFIG_USB_RTL8150,1
CONFIG_USB_CATC,1
CONFIG_HID_CP2112,2
CONFIG_NFSD_PNFS,1
CONFIG_USB_SERIAL_OMNINET,1
CONFIG_DRM_VMWGFX,1
CONFIG_SND_MSND_PINNACLE,2
CONFIG_SND_MSND_CLASSIC,1
CONFIG_SCSI_SAS_LIBSAS,3
CONFIG_STUB_CLK_HI3660,1
CONFIG_ARCH_HISI,1
CONFIG_CIFS_SMB2,1
CONFIG_CDROM,3
CONFIG_BLK_DEV_SR,1
CONFIG_VBOXGUEST,2
CONFIG_VIRT_DRIVERS,2
CONFIG_POSIX_TIMERS,1
CONFIG_FB_UVESA,1
CONFIG_CRYPTO_USER_API_AEAD,1
CONFIG_USB_YUREX,1
CONFIG_IPDDP,1
CONFIG_DEV_APPLETALK,1
CONFIG_PHY_OCELOT_SERDES,1
CONFIG_GENERIC_PHY,2
CONFIG_MLX5_INFINIBAND,1
CONFIG_BLK_DEV_LOOP,1
CONFIG_FB_BW2,1
CONFIG_FB_LEO,1
CONFIG_FB_P9100,1
CONFIG_FB_CG14,1
CONFIG_FB_FFB,1
CONFIG_FB_TCX,1
